rank,shoe,price,ReleaseDate,SKU,Designer,Nickname,Colorway,MainColor,UpperMaterial,Technology,Category
39,Yeezy Slides 'Slate Marine',87,8/11/23,ID2349,Kanye West,Slate Marine,Slate Marine/Slate Marine/Slate Marine,Grey,EVA,EVA,Sandal
40,Air Jordan 4 Retro 'Military Blue' 2024,173,5/4/24,FV5029 141,Tinker Hatfield,Military Blue,Off-White/Military Blue/Neutral Grey,Cream,Leather,Air,Lifestyle
41,Wmns Tasman Slipper 'Chestnut',53,11/1/21,5955 CHE,,Chestnut,Chestnut,Brown,Suede,,Sandal
42,Yeezy Slides 'Onyx',102,3/7/22,HQ6448,Kanye West,Onyx,Onyx/Onyx/Onyx,Black,EVA,EVA,Sandal
43,Yeezy Boost 350 V2 'Bone',142,3/21/22,HQ6316,Kanye West,Bone,Bone/Bone/Bone,White,Primeknit,Boost,Lifestyle
44,Wmns Air Zoom Vomero 5 'Photon Dust Metallic Silver',125,2/22/23,FD0884 025,,Photon Dust Metallic Silver,Photon Dust/Chrome/Gridiron/Sail,Silver,Mesh,Zoom Air,Running
45,Air Jordan 3 Retro GS 'Black Cat' 2025,136,1/11/25,DM0967 001,Tinker Hatfield,Black Cat,Black/Dark Charcoal/Black,Black,Suede,Air,Lifestyle
46,Air Jordan 1 Retro Low OG 'Mocha',101,9/21/24,CZ0790 102,Peter Moore,Mocha,White/Black/Palomino,Brown,Leather,Air,Lifestyle
47,Gel 1130 'White Black',96,1/1/24,1201B019 100,,White Black,White/Black,White,Mesh,Gel,Lifestyle
48,Air Jordan 4 Retro 'Oxidized Green',174,6/15/24,FQ8138 103,Tinker Hatfield,Oxidized Green,White/Oxidized Green/White/Neutral Grey,White,Leather,Air,Lifestyle
49,Travis Scott x Wmns Air Jordan 1 Retro Low OG SP 'Canary',255,5/25/24,DZ4137 700,Peter Moore,Canary,Canary/Racer Blue/Light Silver/Gum Medium Brown,Yellow,Suede,Air,Lifestyle
50,Wmns Tasman Slipper 'Black',92,11/1/21,5955 BLK,,Black,Black,Black,Suede,,Sandal
51,Air Jordan 12 Retro GS 'Flu Game' 2025,167,3/1/25,153265 002 25,Tinker Hatfield,Flu Game,Black/Varsity Red,Black,Leather,Zoom Air,Lifestyle
52,Air Jordan 11 Retro 'Gratitude / Defining Moments',189,12/9/23,CT8012 170,Tinker Hatfield,Gratitude / Defining Moments,White/Black/Metallic Gold,White,Patent Leather,Air,Lifestyle
53,Zoom Kobe 5 Protro 'Year of the Mamba - University Red',232,1/18/25,HF5182 600,Eric Avar,Year of the Mamba - University Red,University Red/Black/Metallic Gold,Red,Synthetic,Zoom Air,Basketball
54,Campus 00s 'Core Black Gum',50,9/1/23,HQ8708,,Core Black Gum,Core Black/Cloud White/Off White,Black,Suede,,Lifestyle
55,Wmns Tazz Slipper 'Chestnut',95,11/1/21,1122553 CHE,,Chestnut,Chestnut,Brown,Suede,EVA,Sandal
56,Wmns Air Jordan 4 Retro 'Orchid',287,10/26/24,AQ9129 501,Tinker Hatfield,Orchid,Orchid/Neutral Grey/Black/White,Purple,Suede,Air,Lifestyle
57,Travis Scott x Jordan Jumpman Jack TR 'Dark Mocha',236,11/26/24,FZ8117 204,,Dark Mocha,Dark Mocha/Black/Sail,Brown,Suede,,Lifestyle
58,Handball Spezial 'Collegiate Navy Clear Sky',81,8/26/20,BD7633,,Collegiate Navy Clear Sky,Collegiate Navy/Clear Sky/Gum,Blue,Suede,,Lifestyle
59,Wmns Dunk Low 'Photon Dust',60,5/19/21,DD1503 103,Peter Moore,Photon Dust,White/Photon Dust/White,White,Leather,,Lifestyle
60,Supreme x Air Force 1 Low 'Box Logo - Black',168,3/5/20,CU9225 001,Bruce Kilgore,Box Logo - Black,,Black,Leather,Air,Lifestyle
61,Air Jordan 5 Retro 'White Black',175,12/7/24,DD0587 110,Tinker Hatfield,White Black,White/Black/Sail/Metallic Silver,White,Leather,Air,Lifestyle
62,9060 'Black Castlerock',119,9/2/22,U9060BLK,,Black Castlerock,Black/Castlerock/Rain Cloud,Black,Suede,ABZORB,Lifestyle
63,Yeezy Boost 350 V2 'Steel Grey',131,2/29/24,IF3219,Kanye West,Steel Grey,Steel Grey/Steel Grey/Steel Grey,Grey,Primeknit,Boost,Lifestyle
64,Gel NYC 'Graphite Grey Black',146,,1201A789 020,,Graphite Grey Black,Graphite Grey/Black,Black,Suede,Gel,Lifestyle
65,Air Jordan 4 Retro SE 'Wet Cement',227,7/27/24,FQ7928 001,Tinker Hatfield,Wet Cement,Smoke Grey/Iron Grey/Cement Grey/Particle Grey,Grey,Suede,Air,Lifestyle
66,9060 'Triple Black Suede',186,,U9060BPM,,Triple Black Suede,Black/Phantom/Magnet,Black,Suede,ABZORB,Lifestyle
67,Gel Kayano 14 'Silver Cream',177,7/1/23,1201A019 108,,Silver Cream,Cream/Black,Cream,Mesh,Gel,Lifestyle
68,Wmns Dunk Low 'Black White',74,3/10/21,DD1503 101,Peter Moore,Black White,White/Black/White,Black,Leather,,Lifestyle
69,Yeezy Slides 'Slate Grey',80,8/18/23,ID2350,Kanye West,Slate Grey,Slate Grey/Slate Grey/Slate Grey,Grey,EVA,EVA,Sandal
70,Air Jordan 12 Retro GS 'Blueberry',160,12/18/24,153265 140,Tinker Hatfield,Blueberry,White/Black/Game Royal,White,Leather,Zoom Air,Lifestyle
71,A Ma Maniére x Wmns Air Jordan 4 Retro 'While You Were Sleeping',208,9/20/24,FZ4810 200,Tinker Hatfield,While You Were Sleeping,Fossil Stone/Metallic Pewter/Burgundy Crush,Pink,Nubuck,Air,Lifestyle
72,2002R 'Protection Pack - Rain Cloud',131,8/13/21,M2002RDA,,Protection Pack - Rain Cloud,Rain Cloud/Magnet,Grey,Suede,NERGY,Running
73,Air Jordan 9 Retro 'Olive' 2024,182,11/9/24,HV4794 030,Tinker Hatfield,Olive,Black/True Red/Light Olive,Black,Leather,Air,Lifestyle
74,Air Jordan 14 Retro 'Black Toe' 2024,201,11/2/24,487471 160,Tinker Hatfield,Black Toe,White/Varsity Red/Black/Metallic Silver,White,Leather,Zoom Air,Lifestyle
75,Air Jordan 4 Retro GS 'Bred Reimagined',128,2/17/24,FQ8213 006,Tinker Hatfield,Bred Reimagined,Black/Fire Red/Cement Grey/Summit White,Black,Leather,Air,Lifestyle
76,9060 'Shadow Grey',120,10/11/24,U9060ZGB,,Shadow Grey,Shadow Grey/Castlerock/Black,Grey,Suede,ABZORB,Lifestyle
77,Wmns Gel Kayano 14 'White Midnight',115,2/5/23,1202A056 109,,White Midnight,White/Midnight,White,Mesh,Gel,Lifestyle
78,Air Jordan 3 Retro OG GS 'Black Cement' 2024,114,11/23/24,DM0967 010,Tinker Hatfield,Black Cement,Black/Fire Red/Cement Grey/Sail,Black,Leather,Air,Lifestyle
79,Air Jordan 4 Retro 'Red Cement',211,9/9/23,DH6927 161,Tinker Hatfield,Red Cement,White/Fire Red/Black/Neutral Grey,White,Leather,Air,Lifestyle
80,Air Jordan 1 Retro High OG 'Chicago Lost & Found',218,11/19/22,DZ5485 612,Peter Moore,Chicago Lost & Found,Varsity Red/Black/Sail/Muslin,Red,Leather,Air,Lifestyle
81,Bad Bunny x Response CL 'Paso Fino',104,10/28/23,ID0780,,Paso Fino,Ecru Tint/Bronze Strata/Earth Strata,Cream,Mesh,Adiprene,Lifestyle
82,Zoom Kobe 5 Protro 'X-Ray',203,10/17/24,HJ4303 400,Eric Avar,X-Ray,Deep Royal Blue/Baltic Blue/Glacier Blue,Blue,Synthetic,Zoom Air,Basketball
83,Gel Kayano 14 'Black Pure Silver',129,1/1/24,1201A019 006,,Black Pure Silver,Black/Pure Silver,Black,Mesh,Gel,Lifestyle
84,Yeezy Slides 'Granite',85,8/25/23,ID4132,Kanye West,Granite,Granite/Granite/Granite,Grey,EVA,EVA,Sandal
85,Wmns Classic Ultra Mini Boot 'Chestnut',59,11/1/21,1116109 CHE,,Chestnut,Chestnut,Brown,Suede,,Boot
86,Air Jordan 11 Retro Low 'Space Jam',208,5/18/24,FV5104 004,Tinker Hatfield,Space Jam,Black/Varsity Royal/White,Black,Patent Leather,Air,Lifestyle
87,Gel 1130 'White Cloud Grey',110,,1201A256 118,,White Cloud Grey,White/Cloud Grey,White,Mesh,Gel,Lifestyle
88,9060 'Raincloud',118,9/2/22,U9060GRY,,Raincloud,Rain Cloud/Castlerock/White,Grey,Suede,ABZORB,Lifestyle
89,Air Jordan 4 Retro GS 'White Thunder',207,8/24/24,FQ8213 001,Tinker Hatfield,White Thunder,Black/White/Black,Black,Nubuck,Air,Lifestyle
90,Wmns Air Jordan 11 Retro 'Bred Velvet',165,11/11/24,DB5457 061,Tinker Hatfield,Bred Velvet,Black/Gym Red/White,Black,Velvet,Air,Lifestyle
91,Zoom KD 4 'Aunt Pearl' 2024,124,10/25/24,HF9098 600,Leo Chang,Aunt Pearl,Pinkfire 2/Black/Metallic Silver,Pink,Synthetic,Zoom Air,Basketball
92,Air Jordan 3 Retro 'Green Glow',129,3/16/24,CT8532 031,Tinker Hatfield,Green Glow,Black/Green Glow/Wolf Grey/White,Black,Leather,Air,Lifestyle
93,Maison Mihara Yasuhiro Peterson OG Sole Canvas Low 'Black',244,7/1/20,A01FW702 BLK,,Black,Black/White,Black,Canvas,,Lifestyle
94,Maison Mihara Yasuhiro Hank OG Sole Canvas Low 'Black White',251,6/1/22,A05FW702 BLK,,Black,Black,Black,Canvas,,Lifestyle
95,9060 'Quartz Grey',136,6/1/23,U9060HSA,,Quartz Grey,Quartz Grey/Team Cream/Sea Salt,Grey,Suede,ABZORB,Lifestyle
96,Air Jordan 5 Retro OG PS 'Black Metallic Reimagined',105,2/8/25,HF3978 001,Tinker Hatfield,Black Metallic Reimagined,Black/White/Metallic Silver/Fire Red,Black,Nubuck,,Lifestyle
97,Air Jordan 6 Retro 'Olympic' 2024,130,8/3/24,CT8529 164,Tinker Hatfield,Olympic,White/Varsity Red/Midnight Navy,Blue,Leather,Air,Lifestyle
98,Samba OG 'White Black Gum',86,5/9/18,B75806,,White Black Gum,Cloud White/Core Black/Gum,White,Leather,,Lifestyle
99,Yeezy Boost 350 V2 'MX Dark Salt',127,8/21/23,ID4811,Kanye West,MX Dark Salt,MX Dark Salt/MX Dark Salt/MX Dark Salt,Grey,Primeknit,Boost,Lifestyle
100,Wmns Dunk Low 'Cacao Wow',71,7/10/23,DD1503 124,Peter Moore,Cacao Wow,Sail/Cacao Wow/Coconut Milk,Brown,Leather,,Lifestyle
101,Nigel Sylvester x Air Jordan 4 Retro OG SP 'Brick By Brick',321,2/21/25,U992JG1,,Aged Well,Rose Smoke/Misty Rose,Pink,Suede,ABZORB,Lifestyle
102,RIOT Skateshop x Dunk Low SB 'Mahogany Dark Beetroot',112,1/11/25,DM0968 001,Tinker Hatfield,Black Cat,Black/Dark Charcoal/Black,Black,Suede,,Lifestyle
103,Dunk Low SE 'Black Anthracite Gum',118,3/14/25,HF4340 800,Tinker Hatfield,Brick By Brick,Firewood Orange/Sail/Cinnabar,Orange,Suede,Air,Lifestyle
104,Wmns Air Jordan 4 Retro 'Abundance / Seafoam',172,2/26/25,FN7251 001,Tinker Hatfield,Net - Black,Black/Black/Metallic Silver,Black,Leather,Air,Lifestyle
105,740 'Lunar New Year',106,1/6/25,M1000LNY,,Lunar New Year,Black/White/Silver Metallic,Black,Mesh,ABZORB,Lifestyle
106,Harden Vol. 9 'Cyber Metallic',113,3/14/25,HF2902 001,Eric Avar,Black Volt,Black/Volt,Black,Foamposite,Zoom Air,Basketball
107,Book 1 'Black Label Pack',231,2/22/25,DM0967 101,Tinker Hatfield,Lucky Shorts,Summit White/Hydrogen Blue/Legend Blue/Photon Dust/Pure Platinum/Sail,White,Leather,Air,Lifestyle
108,Union LA x Air Jordan 1 Retro High OG SP 'Chicago Shadow',351,2/27/25,HV8563 600,Peter Moore,Chicago Shadow,Varsity Red/Black/Sail/Shadow Grey/Muslin,Red,Leather,Air,Lifestyle
109,1000 'Lunar New Year',116,3/8/25,HV0823 003,Tinker Hatfield,Abundance / Seafoam,Seafoam/Sail/Metallic Silver,Green,Nubuck,Air,Lifestyle
110,Air Jordan 9 Retro 'Cool Grey' 2025,253,2/14/25,IB3859 001,,Black Label Pack - Scratch Bling,Black/Coconut Milk/Black,Black,Nubuck,Zoom Air,Basketball
111,Gel 1130 'Cream Blueberry',110,4/26/25,FV5104 006,,Bred,Black/Varsity Red/White,Black,Patent Leather,Air,Lifestyle
112,Wmns Dunk Low 'Roses',109,3/15/25,HV4794 011,Tinker Hatfield,Cool Grey,Medium Grey/White/Cool Grey,Grey,Patent Leather,Air,Lifestyle
113,Wmns Air Jordan 4 Retro 'Net - Black',182,3/29/25,HV8571 100,Tinker Hatfield,For The Love,White/Diffused Blue/Anthracite/Muslin,White,Leather,Air,Lifestyle
114,Liberty London x Wmns Gazelle Indoor 'Floral Embroidery',150,1/1/25,1203A609 101,,Cream Blueberry,Cream/Blueberry,Cream,Mesh,Gel,Lifestyle
115,Zoom Kobe 6 GS 'All-Star - Sail',126,1/20/25,DX0755 001,Sean McDowell,Hyper Blue,Black/Chamois/Sky Blue/Hyper Blue/Midnight Navy/White,Blue,Mesh,Air,Lifestyle
116,Wmns Air Force 1 Low 'Valentine's Day 2025',117,3/1/25,HJ9351 002,,Metallic Silver Red,Metallic Silver/Black/University Red,Silver,Patent Leather,,Lifestyle
117,Dunk Low 'Year of the Snake',106,2/28/25,FV5582 001,,Black,Black/Black,Black,Foamposite,Zoom Air,Basketball
118,Dunk Low SB 'Aluminum',118,1/10/25,JP5309,,Floral Embroidery,,Cream,Textile,,Lifestyle
119,Total 90 3 SP 'Metallic Silver Red' 2025,122,2/1/25,JR1256,,Cow Print,Dark Brown/Off White/Gum 3,Brown,Fur,,Lifestyle
120,Air Zoom Maxfly 2 'Denim Turquoise',157,1/14/25,HV5979 130,Bruce Kilgore,Year of the Snake,Sail/Jade Horizon/Light Bone/University Red/Metallic Gold/Sail,Cream,Leather,Air,Lifestyle
121,Wmns Samba OG 'Cow Print',182,2/8/25,FZ7335 001,Eric Avar,Masterpiece,Black/Metallic Silver/Bright Crimson/Volt,Black,Flyknit,React,Basketball
122,Air Foamposite One 'Black Volt',252,2/19/25,HF3063 400,,Aluminum,Aluminum/Black/Football Grey/Summit White,Blue,Suede,Zoom Air,Skateboarding
123,Kobe 9 Elite Protro 'Masterpiece' 2025,150,1/30/25,JI0189,,Cheetah Pack - Impact Orange,Dark Brown/Off White/Semi Impact Orange,Brown,Fur,EVA,Lifestyle
124,Air Zoom Pegasus 41 'Doernbecher 2025',161,1/30/25,JI2735,,Cheetah Pack - Collegiate Green,Core Black/Collegiate Green/Cream White,Brown,Fur,,Lifestyle
125,Air Jordan 3 Retro TD 'Black Cat' 2025,56,1/14/25,HV5980 231,Peter Moore,Year of the Snake,Medium Olive/Jade Horizon/Sail/Ironstone/University Red/Sail,Green,Leather,,Lifestyle
126,Pegasus Premium 'Airscape',211,1/8/25,HF2016 100,Bruce Kilgore,White Roses,White/White/Black/White,White,Leather,Air,Lifestyle
127,Air Jordan 1 Retro High OG GS 'Black Toe Reimagined',94,2/13/25,FV9676 100,Eric Avar,All-Star - Sail,Sail/Black/Light Bone/White/Platinum Violet,Cream,Synthetic,Zoom Air,Basketball
128,Wmns SL72 OG 'Cheetah Pack - Impact Orange',121,1/13/25,FJ2028 600,,Elemental Pink,Elemental Pink/Desert Berry/Pink Foam/Sail/Metallic Platinum,Pink,Mesh,Zoom Air,Running
129,Wmns Tazz Slipper 'Love '25 Pack - Arroyo Tropical Pink',167,1/29/25,HF3144 100,Peter Moore,Year of the Snake,Summit White/Summit White/Photon Dust/Barely Green,Grey,Leather,Air,Lifestyle
130,Air Jordan 11 Retro Low 'Bred' 2025,266,2/2/25,HQ1843 400,,Denim Turquoise,Denim Turquoise/Light Photo Blue/Doll/Sail,Teal,Flyweave,Zoom Air,Cleat
131,Wmns Samba OG 'Cheetah Pack - Collegiate Green',130,1/22/25,DD9336 200,Tinker Hatfield,Golden Ticket,Earth/Metallic Gold/Sail/Muslin,Cream,Leather,Air,Lifestyle
132,Air Flightposite 'Black' 2025,227,1/25/25,JR2506,,Cyber Metallic,Cyber Metallic/Core Black/Lucid Red,Silver,Synthetic,Lightstrike,Basketball
133,Wmns Lowmel 'Love '25 Pack',181,2/10/25,HV5992 111,Bruce Kilgore,Valentine's Day 2025,Sail/Sail/Sail/Pink Foam,Cream,Suede,Air,Lifestyle
134,JJJJound x 993 Made in USA 'Mushroom',377,1/11/25,DM0966 001,Tinker Hatfield,Black Cat,Black/Dark Charcoal/Black,Black,Suede,,Lifestyle
135,Sandy Liang x XT-Whisper 'Fairy Tale',196,1/30/25,HQ2592 002,,Airscape,Football Grey/Multi-Color/Total Orange/Summit White/Metallic Silver/Black,Grey,Mesh,Zoom Air,Running
136,Wmns Sambae 'Valentine's Day 2025',111,1/23/25,L47846300,,Fairy Tale,Fairy Tale/Footwear Silver,Pink,Mesh,EnergyCell,Lifestyle
137,Zoom KD 4 'The Real MVP - Summit White',132,4/18/25,CZ0790 107,Peter Moore,Rookie of the Year,Sail/Black/Golden Harvest/Gym Red,Brown,,Air,Lifestyle
138,Air Force 1 Low 'All-Star 2025',111,2/8/25,HV5788 001,,Signing Day,Black/Metallic Gold,Black,Leather,Air,Other
139,Air Jordan 1 Retro Low '85 OG 'Royal',182,2/1/25,JQ6140,,Best of Adi 2.0,Footwear White/Core Black/Lucid Red,White,TPU,Boost,Basketball
140,Wmns Sabrina 2 'Triple Double',129,1/21/25,FZ1289 200,,Mahogany Dark Beetroot,Mahogany/Dark Beetroot/Team Red/Sail/Night Maroon,Red,Suede,Zoom Air,Skateboarding
141,Joe Freshgoods x 992 Made in USA 'Aged Well',239,2/8/25,HF3977 001,Tinker Hatfield,Black Metallic Reimagined,Black/White/Metallic Silver/Fire Red,Black,Nubuck,,Lifestyle
142,Vomero 5 GS 'Valentine's Day 2025',100,2/22/25,HF3248 001,Tinker Hatfield,Volcano,Black/Black/Magma Orange,Black,Leather,Air,Lifestyle
143,Zoom Kobe 5 Protro GS 'Year of the Mamba - University Red',172,1/16/25,HF2885 001,Bruce Kilgore,All-Star 2025,Black/Metallic Silver,Black,Leather,Air,Lifestyle
144,Dunk Low SB Pro B 'Parachute Beige',107,2/14/25,FZ5916 400,Leo Chang,Scoring Title,Photo Blue/Lemon Twist/Tour Yellow,Yellow,Synthetic,Zoom Air,Basketball
145,Book 1 Textile 'Sedona',101,1/24/25,HJ0367 200,,Parachute Beige,Parachute Beige/Parachute Beige/Desert Khaki/White,Brown,Suede,Zoom Air,Skateboarding
146,Air Jordan 1 Retro Low OG 'Year of the Snake',146,1/1/25,HF5441 104,Peter Moore,St. John's,White/University Red/White,Red,Leather,,Lifestyle
147,Wmns Air Zoom Vomero 5 'Elemental Pink',140,1/6/25,HQ1931 001,Peter Moore,Black Anthracite Gum,Black/Anthracite/Pale Ivory/Gum Light Brown,Black,Suede,,Lifestyle
148,Air Tech Challenge 2 'Racer Pink',112,2/7/25,HV2301 600,Tinker Hatfield,Valentine’s Day Pack - Playful Pink,Playful Pink/University Red,Pink,Mesh,Air,Lifestyle
149,Book 1 'Forrest Gump Cortez',120,1/6/25,U740LN1,,Lunar New Year,Moonbeam/Arid Stone/Black,Cream,Mesh,ABZORB,Lifestyle
150,Wmns Air Jordan 6 Retro 'Doernbecher 2025',282,2/18/25,IB3546 100,Leo Chang,The Real MVP - Summit White,Summit White/Hyper Royal/Metallic Gold,White,Synthetic,Zoom Air,Basketball
151,Air Max 90 'Volcano',121,2/10/25,HV6012 161,Bill Bowerman,Valentine's Day 2025,Sail/Pink Foam/Sail/College Grey,Cream,Leather,,Lifestyle
152,Air Jordan 11 Retro Low 'Year of the Snake',201,1/23/25,HV5177 010,Peter Moore,Black Metallic Reimagined,Black/Silver Metallic/University Red,Black,Leather,Air,Lifestyle
153,Air Max Plus 'Hyper Blue' 2025,130,1/25/25,IB6103 920,Benjamin Nethongkome,Doernbecher 2025,Multi-Color/Multi-Color/Multi-Color,Multi-Color,Mesh,Zoom Air,Basketball
154,A Ma Maniére x Air Jordan 3 Retro OG SP 'For The Love',349,2/18/25,210877 90H,,Sulley,Multi,Blue,Faux Fur,,Sandal
155,Air Diamond Turf Premium 'Signing Day',159,1/22/25,U1906AB,,Deep Blue,Deep Navy/Blue/White,Blue,Mesh,NERGY,Lifestyle
156,Tiempo Legend 10 Elite Luxe FG Made in Italy 'Montebelluna',296,2/15/25,FD1437 106,Peter Moore,Black Toe Reimagined,Black/Black/Varsity Red/White,Red,Leather,Air,Lifestyle
157,KD 17 'B.A.D.',99,1/31/25,FZ9033 100,,Racer Pink,White/Racer Pink/Light Smoke Grey/Coconut Milk,White,Leather,Air,Lifestyle
158,Gel Kayano 20 'Cream Deep Marine',139,2/5/25,U1906LNS,Charlotte Lee,Rich Oak Suede,Rich Oak/Black,Brown,Suede,NERGY,Lifestyle
